bundle_slug,bundle_label,organization,org_scope,contact_scope,public_contact,why_this_route,source_url,last_verified
privacy_data_protection,Privacy And Data Protection,noyb,eu_level,general,info@noyb.eu,"Strong route for privacy, GDPR, and cross-border data-protection problems affecting private users",https://noyb.eu/en/media-center,2026-04-23
privacy_data_protection,Privacy And Data Protection,Panoptykon Foundation,poland,general,fundacja@panoptykon.org,"Useful when privacy and surveillance concerns need watchdog attention or public-interest framing in Poland and at EU level",https://en.panoptykon.org/contact-us,2026-04-23
privacy_data_protection,Privacy And Data Protection,Bits of Freedom,netherlands,general,info@bitsoffreedom.nl,"Useful for Dutch privacy and platform-power issues and wider policy advocacy",https://www.bitsoffreedom.nl/contact/,2026-04-23
privacy_data_protection,Privacy And Data Protection,La Quadrature du Net,france,general,contact@laquadrature.net,"Useful for French digital-freedom and anti-surveillance issues",https://www.laquadrature.net/en/about/,2026-04-23
platform_harms_dsa,Platform Harms And DSA,European Digital Rights (EDRi),eu_level,press,press@edri.org,"Strong Brussels-facing route for systemic platform-governance, DSA, and digital-rights advocacy",https://edri.org/what-we-do/press-and-media/,2026-04-23
platform_harms_dsa,Platform Harms And DSA,BEUC,eu_level,consumer_route,consumers@beuc.eu,"Useful where platform harms overlap with dark patterns, consumer abuse, or unfair commercial practices",https://www.beuc.eu/contact,2026-04-23
platform_harms_dsa,Platform Harms And DSA,Bits of Freedom,netherlands,general,info@bitsoffreedom.nl,"Useful for platform accountability and freedom-of-communication issues",https://www.bitsoffreedom.nl/contact/,2026-04-23
platform_harms_dsa,Platform Harms And DSA,Xnet,spain,general,contact@xnet-x.net,"Useful for platform governance, disinformation, and democratic digitalisation angles",https://xnet-x.net/en/contact/,2026-04-23
platform_harms_dsa,Platform Harms And DSA,Panoptykon Foundation,poland,general,fundacja@panoptykon.org,"Useful for platform-risk, content-governance, and systemic-risk framing",https://en.panoptykon.org/contact-us,2026-04-23
ai_accountability,AI Accountability,AlgorithmWatch,eu_level,general,info@algorithmwatch.org,"Strong route for AI accountability, algorithmic harms, and research-backed public-interest advocacy",https://algorithmwatch.org/en/contact/,2026-04-23
ai_accountability,AI Accountability,Irish Council for Civil Liberties (ICCL),ireland,general,info@iccl.ie,"Useful when AI harms overlap with civil liberties, biometric surveillance, or public-sector deployment",https://www.iccl.ie/about/iccl-staff/,2026-04-23
ai_accountability,AI Accountability,Panoptykon Foundation,poland,general,fundacja@panoptykon.org,"Useful for AI, profiling, surveillance, and automated-decision harms",https://en.panoptykon.org/contact-us,2026-04-23
ai_accountability,AI Accountability,Xnet,spain,general,contact@xnet-x.net,"Useful where AI accountability overlaps with democratic digitalisation and disinformation",https://xnet-x.net/,2026-04-23
ai_accountability,AI Accountability,Hermes Center,italy,media,media@hermescenter.org,"Useful for internet-freedom and digital-rights framing from Italy-based civil society",https://hermescenter.org/contatti/,2026-04-23
journalist_safety,Journalist Safety And Press Freedom,European Federation of Journalists (EFJ),eu_level,secretariat,secretariat@europeanjournalists.org,"Strong first route for journalist-rights advocacy, union-network escalation, and press-freedom coordination",https://europeanjournalists.org/about-efj/contact/,2026-04-23
journalist_safety,Journalist Safety And Press Freedom,European Centre for Press and Media Freedom (ECPMF),eu_level,support,support@ecpmf.eu,"Strong support route for journalists at risk or in exile",https://pressprotect.ecpmf.eu/fund/support-for-exiled-journalists/,2026-04-23
journalist_safety,Journalist Safety And Press Freedom,Reporters Without Borders (RSF),international,assistance,assistance2@rsf.org,"Useful for emergency press-freedom and journalist-assistance escalation",https://rsf.org/en/contact-us,2026-04-23
journalist_safety,Journalist Safety And Press Freedom,EUobserver,newsroom,secure_tip,euobserver@proton.me,"Useful when a matter needs secure source contact with an EU-affairs newsroom",https://euobserver.com/about-us/,2026-04-23
journalist_safety,Journalist Safety And Press Freedom,POLITICO Europe,newsroom,editorial,editorial@politico.eu,"Useful for wider EU-policy visibility once facts are ready for newsroom review",https://www.politico.eu/contact-us/,2026-04-23
surveillance_state_power,Surveillance And State Power,Digitalcourage,germany,general,mail@digitalcourage.de,"Strong route for anti-surveillance and digital self-determination advocacy in Germany",https://digitalcourage.de/kontakt,2026-04-23
