use_case_key,use_case_label,primary_template_slug,fallback_template_slug,jurisdiction_scope,selector_note,not_for
"eu_consultation_response","Respond to an EU public consultation","consultation_response_template","","EU","Use the formal consultation template when the task is an open portal or Have Your Say submission rather than a private complaint.","Private enforcement complaints or outreach emails."
"eu_document_request","Request EU institution documents","foi_request_template","","EU","Start with the FOI template when the goal is access to documents from an EU institution under Regulation 1049/2001.","National FOI systems unless separately adapted."
"eu_maladministration_complaint","Complain to the European Ombudsman about maladministration","ombudsman_complaint_template","","EU","Use only when the target is an EU institution or body and direct contact has already happened.","National authorities; local ombudsmen; private-company disputes."
"platform_restriction_review","Challenge a platform suspension or removal","platform_account_suspension_email","mep_outreach_procedural_concern_email","Mixed","Start with the platform review email; only move to political outreach if the issue becomes systemic or process-driven.","Formal ombudsman complaints as a first move."
"illegal_content_follow_up","Follow up on illegal content or a failed notice-and-action path","illegal_content_and_dsa_email","committee_coordinator_procedural_concern_email","Mixed","Use the issue email first to preserve the platform chronology; escalate politically only if there is a broader DSA process angle.","Journalist outreach before the platform route is documented."
"dark_patterns_complaint","Complain about dark patterns or manipulative design","dark_patterns_email","ngo_support_request_email","Mixed","Use the citizen complaint email for first contact; use the NGO route if the pattern looks systemic or repeatable.","DPA silence follow-up where no DPA complaint exists yet."
"gdpr_rights_request","Make or repeat a controller-side GDPR rights request","gdpr_data_rights_email","privacy_ngo_support_request_email","Mixed","Use the controller-facing GDPR email first; escalate to a privacy NGO only when the issue looks broader than one unresolved personal request.","DPA follow-up or MEP pressure before the controller route is documented."
"dpa_silence_follow_up","Follow up after DPA silence on a GDPR complaint","dpa_follow_up_after_silence_email","mep_gdpr_under_enforcement_email","National_or_cross_border","Use the DPA follow-up first; use the MEP template if the issue has become one of systemic under-enforcement.","Initial complaints to the controller."
"gdpr_systemic_watchdog_outreach","Ask a privacy NGO to review or amplify a systemic GDPR issue","privacy_ngo_support_request_email","cross_border_complainant_coordination_note","Mixed","Use the NGO support email when the aim is validation; support; or amplification rather than direct legal representation.","Basic personal disputes with no systemic or cross-border signal."
"gdpr_media_story","Pitch a journalist on GDPR under-enforcement","journalist_gdpr_enforcement_pitch_email","journalist_issue_pitch_email","EU_or_national","Prefer the GDPR-specific journalist pitch when the public-interest story is about enforcement delay or systemic privacy failure.","Thinly evidenced or purely personal disputes."
"cross_border_gdpr_coordination","Coordinate several complainants or allies before a cross-border GDPR escalation","cross_border_complainant_coordination_note","privacy_ngo_support_request_email","EU_cross_border","Use the coordination note when several people need a common chronology or shared framing before external escalation.","Single-complainant initial contact."
"mep_policy_process_concern","Raise a procedural concern with an MEP on a live policy file","mep_outreach_procedural_concern_email","committee_coordinator_procedural_concern_email","EU","Use the MEP outreach template for ordinary political contact; use the coordinator version when internal committee leverage matters.","Formal filings to authorities or ombudsmen."
"committee_process_pressure","Pressure a committee coordinator on process; pace; or stakeholder balance","committee_coordinator_procedural_concern_email","mep_outreach_procedural_concern_email","EU","Use the coordinator template when the recipient's role inside committee management is the reason for contacting them.","Generic constituent outreach where no coordinator role matters."
"commission_process_challenge","Challenge a Commission consultation process","commission_consultation_process_email","mep_outreach_procedural_concern_email","EU","Use the Commission process email when the consultation design itself is the grievance.","Private complaints to platforms or traders."
"general_journalist_pitch","Pitch a journalist on a public-interest issue that is not specifically GDPR under-enforcement","journalist_issue_pitch_email","ngo_support_request_email","Mixed","Use the general journalist pitch when the repo issue has public-interest value but is not yet a regulator-delay story.","Controller-side rights requests or platform support tickets."
"general_ngo_amplification","Ask an NGO or network to review or amplify a concern","ngo_support_request_email","journalist_issue_pitch_email","Mixed","Use the NGO support email when you want review; coalition; or amplification rather than public media attention first.","Formal complaints or court filings."
"accessibility_failure_report","Report an accessibility failure to the service owner first","digital_accessibility_failure_email","ngo_support_request_email","Mixed","Use the accessibility template for the first remediation ask and chronology.","European Ombudsman complaints against national public bodies without exhausting the right route."
"cross_border_consumer_complaint","Send a first documented complaint on a cross-border consumer dispute","cross_border_consumer_dispute_email","ngo_support_request_email","Mixed","Use the consumer dispute email for the trader or platform first; escalate externally only once the facts are documented.","DPA-specific privacy disputes."
