campaign_slug,rule_key,stage_key,required_signals,excluded_signals,recommended_next_step,recommended_template_slug,recommended_bundle_slug,recommended_dataset_slug,recommended_contact_type,recommended_stage_after,escalation_level,note
"gdpr_complaints","controller_first_request","individual_rights_complaint","","controller_contacted","Send or repeat a clean controller-side GDPR rights request before widening the route.","gdpr_data_rights_email","","","controller_or_privacy_office","individual_rights_complaint","low","Use this when the complainant still lacks a clean documented first request."
"gdpr_complaints","file_dpa_after_controller_failure","individual_rights_complaint","controller_contacted","dpa_complaint_filed","Prepare and file the DPA complaint using the correct national intake route and preserve the chronology.","","","dpa-complaint-routes","national_dpa","individual_rights_complaint","medium","Use this when controller-side contact happened but the case is not yet with the regulator."
"gdpr_complaints","watch_and_log_after_filing","individual_rights_complaint","controller_contacted;dpa_complaint_filed","regulator_silent","Keep the chronology clean and wait for acknowledgement or a procedural step before moving into pressure mode.","","","dpa-complaint-routes","national_dpa","individual_rights_complaint","low","Do not escalate publicly too early if the complaint was only just filed."
"gdpr_complaints","systemic_support_request","systemic_company_abuse","systemic_pattern;want_ngo_support","","Ask a specialist privacy NGO or watchdog to review or amplify the systemic pattern.","privacy_ngo_support_request_email","gdpr_enforcement_pressure","","privacy_watchdog","systemic_company_abuse","medium","Best when one complainant has enough evidence to suggest a wider abusive pattern."
"gdpr_complaints","systemic_prepare_complaint_package","systemic_company_abuse","systemic_pattern","dpa_complaint_filed","Turn the one-off chronology into a complaint package with repeat-pattern evidence and regulator-ready framing.","privacy_ngo_support_request_email","","dpa-complaint-routes","privacy_watchdog_or_national_dpa","systemic_company_abuse","medium","Useful before or alongside a formal complaint when the issue is bigger than one person."
"gdpr_complaints","cross_border_coordinate_before_widening","cross_border_enforcement_pressure","cross_border_dimension","","Coordinate complainants and align the timeline, lead-authority clues, and factual framing before wider escalation.","cross_border_complainant_coordination_note","","gdpr-cross-border-reference","partner_complainants_or_allies","cross_border_enforcement_pressure","medium","Use this before approaching multiple outside actors with inconsistent facts."
"gdpr_complaints","cross_border_map_lead_authority","cross_border_enforcement_pressure","cross_border_dimension","dpa_complaint_filed","Use the controller-establishment and OSS reference layers to make a first evidence-backed lead-DPA assessment.","","","gdpr-controller-establishment-map","research_and_strategy","cross_border_enforcement_pressure","medium","This is a strategy step rather than an outward-facing escalation."
"gdpr_complaints","cross_border_watchdog_outreach","cross_border_enforcement_pressure","cross_border_dimension;want_ngo_support","","Bring in a privacy watchdog or coalition route once the cross-border framing is documented.","privacy_ngo_support_request_email","gdpr_enforcement_pressure","gdpr-cross-border-reference","privacy_watchdog","cross_border_enforcement_pressure","high","Best when several complainants or jurisdictions are involved and the complaint has public-interest value."
"gdpr_complaints","regulator_follow_up_after_silence","regulator_delay_under_enforcement","regulator_silent","need_public_pressure","Send a procedural follow-up to the DPA before moving into external pressure.","dpa_follow_up_after_silence_email","","dpa-complaint-routes","national_dpa","regulator_delay_under_enforcement","medium","This should normally happen before journalist or parliamentary outreach."
"gdpr_complaints","regulator_watchdog_escalation","regulator_delay_under_enforcement","regulator_silent;need_public_pressure;want_ngo_support","","Ask a privacy NGO or watchdog to assess the enforcement-failure pattern and help validate escalation.","privacy_ngo_support_request_email","gdpr_enforcement_pressure","","privacy_watchdog","regulator_delay_under_enforcement","high","Use once the silence or under-action is documented clearly enough to explain to an outside actor."
"gdpr_complaints","regulator_media_escalation","regulator_delay_under_enforcement","regulator_silent;need_public_pressure;want_media_route","","Pitch the enforcement-delay story to a journalist only after the chronology and public-interest angle are clean.","journalist_gdpr_enforcement_pitch_email","gdpr_enforcement_pressure","","journalist_or_newsroom","regulator_delay_under_enforcement","high","Do not use for thinly evidenced personal disputes."
"gdpr_complaints","regulator_political_oversight","regulator_delay_under_enforcement","regulator_silent;need_public_pressure","want_media_route","Raise the under-enforcement pattern with an MEP when oversight pressure is more suitable than media-first escalation.","mep_gdpr_under_enforcement_email","","gdpr-cross-border-reference","mep_office","regulator_delay_under_enforcement","high","Useful where Commission, EDPB, or cross-border oversight angles matter."
