controller_family,service_examples,official_entity_or_controller_clue,official_source_url,establishment_country_clue,likely_lead_dpa_country,likely_lead_dpa_name,likely_lead_dpa_url,confidence,basis_note,caveat,last_verified
"Meta","Facebook; Instagram; Messenger; Threads","Meta Platforms Ireland Limited; Meta's privacy policy also points EEA users to the Irish supervisory authority lead route","https://www.facebook.com/privacy/policy/","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","medium","Meta's public privacy-policy materials for EEA and UK residents identify Meta Platforms Ireland Limited as the controller and point users toward the Irish supervisory route.","Controller and lead-authority analysis can still vary for specific products; workplace; page-admin; or employment contexts.","2026-04-24"
"Google","Search; Gmail; Maps; YouTube consumer services","Google Ireland Limited provides Google services in the EEA and Switzerland and processes information for that country version","https://policies.google.com/terms?hl=en","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","medium","Google's consumer terms say EEA and Switzerland users contract with Google Ireland Limited; the definitions section says that affiliate processes user information for that country version.","This is an establishment clue from consumer terms rather than a product-by-product controller determination; enterprise; advertising; and partner flows can differ.","2026-04-24"
"Microsoft","Microsoft account; Outlook; Bing; consumer cloud services","Microsoft Ireland Operations Limited is the controller for Microsoft products in the EEA; UK; and Switzerland when Microsoft is the controller","https://privacy.microsoft.com/en-us/privacystatement","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","high","Microsoft's privacy statement contact section identifies Microsoft Ireland Operations Limited for EEA; UK; and Switzerland users where Microsoft acts as controller.","Microsoft often distinguishes between controller and processor roles and between consumer; enterprise; and partner products.","2026-04-24"
"LinkedIn","LinkedIn profile; feed; messaging; ads","LinkedIn Ireland Unlimited Company is the controller in the Designated Countries","https://www.linkedin.com/legal/privacy-policy","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","high","LinkedIn's privacy policy says LinkedIn Ireland Unlimited Company is the controller of personal data for users in the Designated Countries.","Some Microsoft-linked enterprise or recruiter workflows can involve different contracts or role allocations.","2026-04-24"
"TikTok","TikTok app; account; recommendations; ads","TikTok Technology Limited and TikTok Information Technologies UK Limited are joint controllers for EEA; UK; and Switzerland users","https://www.tiktok.com/legal/page/eea/privacy-policy/en","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","medium","TikTok's EEA privacy policy names TikTok Technology Limited in Ireland and TikTok Information Technologies UK Limited as joint controllers.","The Irish lead-authority clue is strong for many EEA complaints but the joint-controller structure means it is not universal.","2026-04-24"
"X","X social platform; DMs; ads","X Internet Unlimited Company is the controller for users in the European Union; EFTA States; and the United Kingdom","https://x.com/en/privacy","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","high","X's privacy policy explicitly separates the controller for EU; EFTA; and UK users and names X Internet Unlimited Company.","Specific advertiser; business; or law-enforcement-facing disputes may involve other entities or regulators.","2026-04-24"
"Apple","Apple ID; App Store; iCloud; device services","Apple Distribution International Limited in Ireland controls personal data for EEA; UK; and Switzerland residents","https://www.apple.com/legal/privacy/en-ww/","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","high","Apple's privacy notice says personal data relating to EEA; UK; and Switzerland residents is controlled by Apple Distribution International Limited in Ireland.","Apple also uses service-specific privacy pages and partner terms; those can matter for narrower complaints.","2026-04-24"
"Spotify","Spotify streaming; account; personalization; ads","Spotify AB is the data controller","https://www.spotify.com/ie/legal/privacy-policy/","Sweden","Sweden","Integritetsskyddsmyndigheten","https://www.imy.se/","high","Spotify's privacy policy states that Spotify AB is the data controller.","Advertising; podcast; and third-party partner relationships can still involve separate controller questions.","2026-04-24"
"Booking.com","Booking.com accommodation booking services","Booking.com B.V.; Amsterdam; Netherlands is the controller of personal data described in the privacy statement","https://www.booking.com/content/privacy.en-gb.html","Netherlands","Netherlands","Autoriteit Persoonsgegevens","https://autoriteitpersoonsgegevens.nl/","high","Booking.com's privacy statement identifies Booking.com B.V. in Amsterdam as the controller for the processing it describes.","Accommodation partners and payment or travel add-on providers can be separate controllers for their own processing.","2026-04-24"
"OpenAI","ChatGPT and related consumer services","OpenAI Ireland Limited is the controller for personal data handled under the Rest of World privacy policy for users in the EEA; Switzerland; and the UK","https://openai.com/policies/row-privacy-policy/","Ireland","Ireland","Data Protection Commission","https://www.dataprotection.ie/","high","OpenAI's Rest of World privacy policy identifies OpenAI Ireland Limited as the controller for users in the EEA; Switzerland; and the UK.","API; enterprise; and reseller relationships can allocate controller and processor roles differently; verify the service-specific terms before assuming the Irish route governs every dispute.","2026-04-24"
