template_slug,title,template_family,template_kind,primary_target,jurisdiction_scope,stage,tone,requires_evidence,best_when,not_for,source_path
"consultation_response_template","Consultation Response Template","formal_filing","submission","Commission consultation or Have Your Say portal","EU","pre_filing","neutral","medium","You are responding to an open public consultation and need a structured policy response.","One-to-one complaints; media outreach; ombudsman complaints.","templates/level-0-public-comment/consultation-response-template.md"
"foi_request_template","Freedom of Information (FOI) Request Template","formal_filing","request","EU institution document-access office","EU","initial_administrative","formal","medium","You need documents from an EU institution under Regulation 1049/2001.","National FOI systems; media pitches; political outreach.","templates/level-1-administrative/foi-request-template.md"
"ombudsman_complaint_template","European Ombudsman Complaint Template","formal_filing","complaint","European Ombudsman","EU","oversight_escalation","formal","high","You need to allege maladministration by an EU institution or body after direct contact failed.","National authorities; local ombudsmen; ordinary private-company disputes.","templates/level-1-administrative/ombudsman-complaint-template.md"
"platform_account_suspension_email","Platform Account Suspension Or Removal","citizen_issue_email","email","Platform support or complaint team","Mixed","initial_contact","firm","medium","An account or content restriction needs a first review request or statement-of-reasons follow-up.","Formal regulator-delay complaints; Parliament outreach.","docs/digital-issues/email-templates/platform-account-suspension-email.md"
"illegal_content_and_dsa_email","Illegal Content Or Notice-And-Action Problem","citizen_issue_email","email","Platform notice-and-action or trust-and-safety team","Mixed","initial_contact","firm","medium","You reported illegal content or a listing and need a clean platform follow-up.","General media outreach; national ombudsman complaints.","docs/digital-issues/email-templates/illegal-content-and-dsa-email.md"
"dark_patterns_email","Dark Patterns And Manipulative Design","citizen_issue_email","email","Platform or trader compliance or support contact","Mixed","initial_contact","firm","medium","You need a first complaint about manipulative interfaces or unfair flow design.","Formal DPA silence follow-up; journalist pitch.","docs/digital-issues/email-templates/dark-patterns-email.md"
"gdpr_data_rights_email","Data Access, Deletion, Or Profiling Problem","citizen_issue_email","email","Controller or privacy office","Mixed","initial_contact","formal","medium","A rights request or follow-up to a controller is the first procedural step.","DPA delay escalation; MEP oversight pressure.","docs/digital-issues/email-templates/gdpr-data-rights-email.md"
"ai_decision_harm_email","AI Decision Harm Or Opaque Automated Output","citizen_issue_email","email","Service provider or controller","Mixed","initial_contact","firm","medium","You need an explanation or review request after an AI-assisted decision or opaque output.","Formal court filing; regulator-delay oversight letters.","docs/digital-issues/email-templates/ai-decision-harm-email.md"
"online_scam_and_marketplace_harm_email","Online Scam, Fake Seller, Or Marketplace Failure","citizen_issue_email","email","Marketplace or payment-platform support or complaints team","Mixed","initial_contact","firm","medium","A marketplace failure or scam needs a clean first complaint to the platform.","Formal NGO coalition asks; ombudsman complaints.","docs/digital-issues/email-templates/online-scam-and-marketplace-harm-email.md"
"digital_accessibility_failure_email","Inaccessible Digital Service Or App","citizen_issue_email","email","Service owner or accessibility contact","Mixed","initial_contact","formal","medium","You need a first accessibility-failure report and practical remediation ask.","EU Ombudsman complaints against national bodies; journalist pitches.","docs/digital-issues/email-templates/digital-accessibility-failure-email.md"
"cross_border_consumer_dispute_email","Cross-Border Online Consumer Dispute","citizen_issue_email","email","Trader or platform complaints contact","Mixed","initial_contact","formal","medium","A trader or platform dispute crosses borders and needs a first documented complaint.","DPA-specific privacy complaints; Commission consultation responses.","docs/digital-issues/email-templates/cross-border-consumer-dispute-email.md"
