issue_key,issue_name,first_route_type,possible_eu_layer,possible_national_layer,evidence_priority,notes
platform_account_suspension,Platform account suspension or removal,platform_internal_complaint,Digital Services Act,Digital Services Coordinator,statement_of_reasons_and_timestamps,Often starts privately but may need public escalation if reasons or review are missing.
illegal_content_notice,Illegal content or notice-and-action failure,platform_notice_route,Digital Services Act,Digital Services Coordinator,url_and_report_record,Save the reported URL and the exact report text.
dark_patterns,Dark patterns and manipulative design,trader_or_platform_complaint,Consumer law and GDPR,Consumer authority and possibly DPA,screen_recording,Design evidence is often more persuasive than narrative alone.
gdpr_access_or_deletion,Data access deletion or profiling problem,controller_rights_request,GDPR,Data Protection Authority,request_and_response_log,The first step is usually a rights request to the controller.
ai_decision_harm,AI decision harm or opaque automated output,provider_review_request,AI Act plus GDPR or sector law,Data Protection Authority consumer authority or sector regulator,decision_notice_and_context,The citizen problem is usually opacity and reviewability first.
online_scam_marketplace,Online scam fake seller or marketplace failure,platform_dispute_or_payment_dispute,Consumer protection and platform governance,Consumer authority and possibly police,payment_and_listing_records,Chargeback or payment dispute timing can matter as much as platform reporting.
digital_accessibility_failure,Inaccessible digital service or app,service_operator_report,EU accessibility obligations,Accessibility monitoring equality body or ombuds,screen_recording_and_device_context,Public-sector services should usually be escalated if no workaround is offered.
cross_border_consumer_dispute,Cross-border online consumer dispute,trader_complaint,Consumer law and ECC support,Consumer authority or European Consumer Centre,contract_and_trader_identity,Identity and terms at purchase are key.
public_sector_platform_problem,Public authority digital service process failure,service_complaint_or_ombuds_route,EU administrative and accessibility rules,Ombuds equality or sector regulator,submission_log,This often combines administrative fairness with digital service quality.
content_moderation_pattern,Repeated moderation pattern affecting many users,platform_internal_complaint_then_public_escalation,Digital Services Act,Digital Services Coordinator,pattern_log_across_cases,Patterns matter more than single anecdotes when arguing systemic failure.
