organization,category,org_scope,contact_scope,audience,focus,public_contact_type,public_contact,public_page,recommended_use,notes,source_url,last_verified
noyb,digital_rights_org,eu_level,general,"citizens; civil society","Privacy, GDPR, strategic enforcement, and cross-border complaints",email,info@noyb.eu,https://noyb.eu/en/media-center,"Use when a GDPR case is legally substantive, repeat-pattern, or clearly cross-border","Public general mailbox published on the official media center page",https://noyb.eu/en/media-center,2026-04-23
noyb,digital_rights_org,eu_level,media,journalists,"Privacy, GDPR, strategic enforcement, and cross-border complaints",email,media@noyb.eu,https://noyb.eu/en/media-center,"Use when a documented GDPR case may support public-interest coverage or needs quote-ready enforcement context","Media route published on the official media center page",https://noyb.eu/en/media-center,2026-04-23
European Digital Rights (EDRi),digital_rights_network,eu_level,press,"journalists; civil society","EU digital-rights coalition work and Brussels advocacy",email,press@edri.org,https://edri.org/what-we-do/press-and-media/,"Use when the case needs coalition amplification, Brussels framing, or links to wider digital-rights governance","Press route rather than individual casework",https://edri.org/what-we-do/press-and-media/,2026-04-23
Access Now,digital_rights_org,international,help,"citizens; activists; journalists","Digital security support, rights defence, and emergency handling",email,help@accessnow.org,https://www.accessnow.org/help/,"Use when complainants, journalists, or sources face digital-security risk, retaliation, device compromise, or sensitive evidence handling questions","Digital Security Helpline route; not a substitute for a DPA complaint",https://www.accessnow.org/help/,2026-04-23
BEUC,consumer_rights_org,eu_level,consumer_route,"citizens; consumer groups","Consumer protection, dark patterns, and commercial abuse with a privacy angle",email,consumers@beuc.eu,https://www.beuc.eu/contact,"Use when a GDPR problem also looks like consumer deception, unfair design, or a wider market practice","Useful where privacy abuse and consumer-law framing overlap",https://www.beuc.eu/contact,2026-04-23
AlgorithmWatch,digital_rights_org,eu_level,general,"citizens; civil society; journalists","Algorithmic accountability, profiling, AI systems, and platform power",email,info@algorithmwatch.org,https://algorithmwatch.org/en/contact/,"Use when GDPR issues overlap with profiling, recommender systems, adtech measurement, or automated decisions","Best for public-interest framing rather than personal casework",https://algorithmwatch.org/en/contact/,2026-04-23
Irish Council for Civil Liberties (ICCL),civil_liberties_org,ireland,general,"citizens; civil society","Civil liberties, adtech, surveillance, AI, and privacy",email,info@iccl.ie,https://www.iccl.ie/about/iccl-staff/,"Use when the case touches adtech, real-time bidding, biometric surveillance, or broader civil-liberties implications","National route with wider EU relevance",https://www.iccl.ie/about/iccl-staff/,2026-04-23
Bits of Freedom,digital_rights_org,netherlands,general,"citizens; civil society","Privacy, freedom of communication, platform accountability, and civic-tech power",email,info@bitsoffreedom.nl,https://www.bitsoffreedom.nl/contact/,"Use for Dutch privacy or platform-power issues and wider policy advocacy","Official contact page says they do not handle individual legal problems",https://www.bitsoffreedom.nl/contact/,2026-04-23
Panoptykon Foundation,digital_rights_org,poland,general,"citizens; civil society","Privacy, surveillance, platform regulation, AI, and state-business data power",email,fundacja@panoptykon.org,https://en.panoptykon.org/contact-us,"Use when privacy and surveillance concerns need watchdog attention or public-interest framing in Poland and at EU level","Official contact page notes no individual legal help",https://en.panoptykon.org/contact-us,2026-04-23
La Quadrature du Net,digital_rights_org,france,general,"citizens; civil society","Digital freedoms, surveillance, censorship, and platform power",email,contact@laquadrature.net,https://www.laquadrature.net/en/about/,"Use for French digital-freedom, privacy, surveillance, or anti-profiling questions with campaign potential","Strong public-interest route in France",https://www.laquadrature.net/en/about/,2026-04-23
Statewatch,watchdog,europe,general,"journalists; civil society; researchers","EU policing, surveillance, migration, secrecy, and civil liberties",email,office@statewatch.org,https://www.statewatch.org/about/contact/,"Use when a GDPR or data-governance issue overlaps with surveillance, border tech, policing, or institutional secrecy","General enquiries route published on official contact page",https://www.statewatch.org/about/contact/,2026-04-24
Statewatch,watchdog,europe,secure,"sources; journalists; civil society","EU policing, surveillance, migration, secrecy, and civil liberties",email,secure@statewatch.org,https://www.statewatch.org/about/contact/,"Use for encrypted or sensitive material linked to surveillance, state data systems, or secrecy-heavy enforcement failures","PGP route published on official contact page",https://www.statewatch.org/about/contact/,2026-04-24
Investigate Europe,newsroom,europe,contact,"sources; journalists; citizens","Cross-border public-interest investigations on technology, power, and EU affairs",email,mail@investigate-europe.eu,https://www.investigate-europe.eu/contact,"Use when the story has cross-border relevance or reflects a Europe-wide enforcement pattern rather than one local complaint","Public contact page also links to leak guidance",https://www.investigate-europe.eu/contact,2026-04-24
Lighthouse Reports,newsroom,europe,secure_tip,"sources; journalists; civil society","Investigative journalism, cross-border accountability, and sensitive source material",email,lighthouse.proton@protonmail.com,https://www.lighthousereports.com/got-a-story/,"Use when evidence is sensitive, source protection matters, or the case supports a deeper cross-border investigation","Secure ProtonMail route published on the official 'Got a story' page",https://www.lighthousereports.com/got-a-story/,2026-04-24
netzpolitik.org,newsroom,germany,newsroom,"citizens; journalists; sources","Privacy, surveillance, digital policy, and civil liberties",email,kontakt@netzpolitik.org,https://netzpolitik.org/impressum/,"Use for Germany-linked privacy, surveillance, or digital-policy stories with strong public-interest value","German-language newsroom with published general inbox",https://netzpolitik.org/impressum/,2026-04-24
EUobserver,newsroom,eu_level,secure_tip,"sources; journalists","EU affairs investigations and source-sensitive reporting",email,euobserver@proton.me,https://euobserver.com/about-us/,"Use when the case is EU-institutional, Brussels-facing, or needs a secure EU-affairs newsroom route","Secure source route published on about page",https://euobserver.com/about-us/,2026-04-23
POLITICO Europe,newsroom,eu_level,editorial,"citizens; journalists; sources","EU policy and politics newsroom",email,editorial@politico.eu,https://www.politico.eu/contact-us/,"Use when the case is well documented and needs mainstream EU-policy visibility or reporter triage","Editorial route, not a secure tip line",https://www.politico.eu/contact-us/,2026-04-23
